kingdom	phylum	class	order	family	name	genus	species	author	taxonID	fossil_status
Animalia	Acanthocephala	Archiacanthocephala	Apororhynchida	Apororhynchidae	Apororhynchus paulonucleatus	Apororhynchus	paulonucleatus	Hokhlova & Cimbaluk, 1971	2499357	no
Animalia	Acanthocephala	Archiacanthocephala	Gigantorhynchida	Giganthorhynchidae	Mediorhynchus wardi	Mediorhynchus	wardi	Schmidt & Canaris, 1967	2499443	no
Animalia	Acanthocephala	Archiacanthocephala	Moniliformida	Moniliformidae	Moniliformis convolutus	Moniliformis	convolutus	Meyer, 1932	2499335	no
Animalia	Acanthocephala	Archiacanthocephala	Oligacanthorhynchida	Oligacanthorhynchidae	Pachysentis rugosus	Pachysentis	rugosus	(Machado-Filho, 1950)	2499523	no
Animalia	Acanthocephala	Eoacanthocephala	Gyracanthocephala	Quadrigyridae	Acanthogyrus bilaspurensis	Acanthogyrus	bilaspurensis	(Chowhan, Gupta & Khera, 1987)	7791695	no
Animalia	Acanthocephala	Eoacanthocephala	Neoechinorhynchida	Neoechinorhynchidae	Paraechinorhynchus kalriai	Paraechinorhynchus	kalriai	Bilqees & Khan, 1983	7013439	no
Animalia	Acanthocephala	Palaeacanthocephala	Echinorhynchida	Rhadinorhynchidae	Rhadinorhynchus dujardini	Rhadinorhynchus	dujardini	Golvan, 1969	2500290	no
Animalia	Acanthocephala	Palaeacanthocephala	Heteramorphida	Pyrirhynchidae	Pyrirhynchus heterospinus	Pyrirhynchus	heterospinus	H.a.Amin, 2008	7376954	no
Animalia	Acanthocephala	Palaeacanthocephala	Polymorphida	Plagiorhynchidae	Porrorchis kinsellai	Porrorchis	kinsellai	Lisitsyna, Tkach & Bush, 2012	8211667	no
Animalia	Acanthocephala	Polyacanthocephala	Polyacanthorhynchida	Polyacanthorhynchidae	Polyacanthorhynchus kenyensis	Polyacanthorhynchus	kenyensis	Schmidt & Canaris, 1967	2500208	no
Animalia	Annelida	Clitellata	Acanthobdellida	Acanthobdellidae	Acanthobdella peledina	Acanthobdella	peledina	Grube, 1851	2307565	no
Animalia	Annelida	Clitellata	Arhynchobdellida	Haemadipsidae	Diestecostoma magna	Diestecostoma	magna	Moore, 1945	2308891	no
Animalia	Annelida	Clitellata	Branchiobdellida	Branchiobdellidae	Oedipodrilus macbaini	Oedipodrilus	macbaini	(Holt, 1955)	2307494	no
Animalia	Annelida	Clitellata	Capilloventrida	Capilloventridae	Capilloventer antarcticus	Capilloventer	antarcticus	Erséus, 1993	4307620	no
Animalia	Annelida	Clitellata	Crassiclitellata	Acanthodrilidae	Diplotrema ridei	Diplotrema	ridei	Jamieson & Dyne, 1976	5815685	no
Animalia	Annelida	Clitellata	Crassiclitellata	Lumbricidae	Allolobophora carneluttii	Allolobophora	carneluttii	Mrsic, 1990	8810516	no
Animalia	Annelida	Clitellata	Crassiclitellata	Lumbricidae	Lumbricus eugeniae	Lumbricus	eugeniae	Kinberg, 1867	8846136	no
Animalia	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Achaeta aberrans	Achaeta	aberrans	Nielsen & Christensen, 1961	7943679	no
Animalia	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Neoenchytraeus wejdowskyi	Neoenchytraeus	wejdowskyi	Eisen, 1879	8862010	no
Animalia	Annelida	Clitellata	Euhirudinea	Salifidae	Salifa perspicax	Salifa	perspicax	R.Blanchard, 1897	9189792	no
Animalia	Annelida	Clitellata	Haplotaxida	Glossoscolecidae	Andiorrhinus barrosoi	Andiorrhinus	barrosoi	Hernández-García, Bartz, Guerrero, Sousa, Rousseau & James, 2018	9831022	no
Animalia	Annelida	Clitellata	Haplotaxida	Microchaetidae	Proandricus entumeni	Proandricus	entumeni	Plisko, 1992	9431720	no
Animalia	Annelida	Clitellata	Haplotaxida	Naididae	Aulodrilus limnobius	Aulodrilus	limnobius	Bretscher, 1899	2308596	no
Animalia	Annelida	Clitellata	Haplotaxida	Naididae	Bathydrilus desbruyeresi	Bathydrilus	desbruyeresi	Erséus, 1983	4307757	no
Animalia	Annelida	Clitellata	Haplotaxida	Naididae	Bathydrilus rohdei	Bathydrilus	rohdei	(Jamieson, 1977)	4812479	no
Animalia	Annelida	Clitellata	Haplotaxida	Naididae	Limnodriloides macinnesi	Limnodriloides	macinnesi	Erséus, 1990	5958491	no
Animalia	Annelida	Clitellata	Haplotaxida	Ocnerodrilidae	Ocnerodrilus occidentalis	Ocnerodrilus	occidentalis	Eisen, 1878	4410231	no
Animalia	Annelida	Clitellata	Lumbriculida	Lumbriculidae	Saenuris batillifera	Saenuris	batillifera	Schmankdewitsch, 1873	9706899	no
Animalia	Annelida	Clitellata	Opisthopora	Megascolecidae	Amynthas shanghangensis	Amynthas	shanghangensis	Sun, Jiang, Bartlam, Qiu & Hu, 2018	10422480	no
Animalia	Annelida	Clitellata	Opisthopora	Megascolecidae	Anisogaster remora	Anisogaster	remora	Blakemore, 2000	5815609	no
Animalia	Annelida	Clitellata	Opisthopora	Megascolecidae	Megascolides australis	Megascolides	australis	McCoy, 1878	4813436	no
Animalia	Annelida	Clitellata	Opisthopora	Megascolecidae	Perionychella perionychopsis	Perionychella	perionychopsis	(Benham, 1909)	2307569	no
Animalia	Annelida	Clitellata	Rhynchobdellida	Piscicolidae	Piscicolaria reducta	Piscicolaria	reducta	Meyer, 1940	2307850	no
Animalia	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon gosnoldi	Aspidosiphon	gosnoldi	E.Cutler, 1981	2510235	no
Animalia	Annelida	Phascolosomatidea	Phascolosomatiformes	Phascolosomatidae	Apionsoma claviformis	Apionsoma	claviformis	Popkov, 1993	2510175	no
Animalia	Annelida	Polychaeta	Amphinomida	Amphinomidae	Linopherus tripunctata	Linopherus	tripunctata	(Kudenov, 1975)	2317528	no
Animalia	Annelida	Polychaeta	Echiuroidea	Thalassematidae	Anelassorhynchus chaetiferus	Anelassorhynchus	chaetiferus	DattaGupta, Menon & Johnson, 1963	2508933	no
Animalia	Annelida	Polychaeta	Eunicida	Dorvilleidae	Schistomeringos annulata	Schistomeringos	annulata	(Moore, 1906)	2322058	no
Animalia	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice violaceomaculata	Eunice	violaceomaculata	Ehlers, 1887	5198365	no
Animalia	Annelida	Polychaeta	Eunicida	Onuphidae	Heptaceras quinquedens	Heptaceras	quinquedens	(Day, 1951)	6453768	no
Animalia	Annelida	Polychaeta	Phyllodocida	Hesionidae	Oxydromus pugettensis	Oxydromus	pugettensis	(Johnson, 1901)	7189822	no
Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratocephale hartmanae	Ceratocephale	hartmanae	Banse, 1977	5196528	no
Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Hediste limnicola	Hediste	limnicola	(Johnson, 1903)	2316425	no
Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Sige belizensis	Sige	belizensis	Eibye-Jacobsen, 1992	2312160	no
Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Enipo elisabethae	Enipo	elisabethae	McIntosh, 1900	2314939	no
Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Eunoe oerstedi	Eunoe	oerstedi	Malmgren, 1865	2314982	no
Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Amblyosyllis granosa	Amblyosyllis	granosa	Ehlers, 1897	2310185	no
Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Opisthodonta spinigera	Opisthodonta	spinigera	Russell, 1987	6453789	no
Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Opisthosyllis australis	Opisthosyllis	australis	Augener, 1913	2310204	no
Animalia	Annelida	Polychaeta	Sabellida	Oweniidae	Galathowenia arafurensis	Galathowenia	arafurensis	Capa, Parapar & Hutchings, 2012	9194243	no
Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Dialychone longiseta	Dialychone	longiseta	(Giangrande, 1992)	8951418	no
Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Sabella grossa	Sabella	grossa	Baird, 1865	2328601	no
Animalia	Annelida	Polychaeta	Spionida	Spionidae	Spiophanes kroyeri	Spiophanes	kroyeri	Grube, 1860	2321061	no
Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Aphelochaeta filiformis	Aphelochaeta	filiformis	(Keferstein, 1862)	2323918	no
Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Longicarpus modestus	Longicarpus	modestus	(Quatrefages, 1866)	4810856	no
Animalia	Annelida	Polychaeta	Terebellida	Trichobranchidae	Terebellides pacifica	Terebellides	pacifica	Kinberg, 1866	2326282	no
Animalia	Annelida	Sipunculidea	Golfingiiformes	Golfingiidae	Golfingia muricaudata	Golfingia	muricaudata	(Southern, 1913)	2509842	no
Animalia	Annelida	Sipunculidea	Sipunculiformes	Sipunculidae	Phascolopsis gouldii	Phascolopsis	gouldii	(PourtalFs, 1851)	2509338	no
Animalia	Arthropoda	Arachnida	Amblypygi	Charinidae	Charinus desirade	Charinus	desirade	Teruel & Questel, 2015	9306531	no
Animalia	Arthropoda	Arachnida	Araneae	Agelenidae	Agelenopsis emertoni	Agelenopsis	emertoni	Chamberlin & Ivie, 1935	2139660	no
Animalia	Arthropoda	Arachnida	Araneae	Agelenidae	Draconarius yani	Draconarius	yani	Wang, Griswold & Miller, 2010	7569540	no
Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus tuscarora	Araneus	tuscarora	Levi, 1973	2160132	no
